,listing_id,counteng,pos,neg,zero,wordcount,charcount,sentiment,count
0,3353,32,0.96875,0.03125,0.0,68.25,369.75,0.28132903252294994,34
1,5506,35,1.0,0.0,0.0,65.68571428571428,354.74285714285713,0.37441739715311156,36
2,6695,44,1.0,0.0,0.0,85.1590909090909,467.3863636363636,0.3431493633860543,47
3,6976,41,0.975609756097561,0.0,0.024390243902439025,82.60975609756098,452.0,0.3594615038719303,41
4,8792,18,1.0,0.0,0.0,73.33333333333333,402.8888888888889,0.4752120369342592,18
5,9273,13,1.0,0.0,0.0,93.84615384615384,521.4615384615385,0.32293233226887075,13
6,9765,9,1.0,0.0,0.0,67.0,354.3333333333333,0.2975200860647289,9
7,9824,22,0.9545454545454546,0.045454545454545456,0.0,59.13636363636363,331.0,0.28049858343363243,22
8,9855,3,1.0,0.0,0.0,89.33333333333333,506.3333333333333,0.31664141414141417,3
9,9857,21,0.9523809523809523,0.047619047619047616,0.0,46.76190476190476,257.2857142857143,0.42011193298544486,21
10,9858,1,0.0,0.0,1.0,14.0,88.0,0.0,1
11,9860,21,0.9523809523809523,0.047619047619047616,0.0,58.42857142857143,316.85714285714283,0.42041714152889265,22
12,9870,6,1.0,0.0,0.0,43.0,249.33333333333334,0.3669370089786756,6
13,10730,20,1.0,0.0,0.0,68.1,378.95,0.3659559529059529,21
14,10758,2,1.0,0.0,0.0,34.0,188.0,0.5204166666666666,2
15,10809,13,0.9230769230769231,0.0,0.07692307692307693,33.84615384615385,174.6153846153846,0.2174456495885067,1
16,10811,3,1.0,0.0,0.0,57.333333333333336,318.0,0.32661375661375663,14
17,12356,9,1.0,0.0,0.0,65.88888888888889,355.1111111111111,0.44023625808348027,3
18,12441,27,0.8888888888888888,0.07407407407407407,0.037037037037037035,74.5925925925926,409.037037037037,0.29740543147985404,9
19,13059,11,1.0,0.0,0.0,168.27272727272728,909.0,0.2401207115499952,29
20,13589,51,0.9803921568627451,0.0,0.0196078431372549,55.529411764705884,311.45098039215685,0.37233985204923936,13
21,13592,15,1.0,0.0,0.0,86.6,478.8,0.3342022221220138,52
22,18711,17,0.9411764705882353,0.0,0.058823529411764705,82.11764705882354,451.6470588235294,0.3240883720613445,15
23,20000,252,0.9801587301587301,0.007936507936507936,0.011904761904761904,61.73412698412698,329.9404761904762,0.368670044456582,17
24,21337,10,1.0,0.0,0.0,91.6,523.2,0.2594184435493959,271
25,21891,21,0.9047619047619048,0.0,0.09523809523809523,42.57142857142857,249.0,0.406348075205218,11
26,22208,4,1.0,0.0,0.0,33.5,187.75,0.4253950216450217,21
27,22212,19,0.9473684210526315,0.05263157894736842,0.0,56.68421052631579,322.05263157894734,0.4230016215915338,4
28,22354,206,0.9854368932038835,0.014563106796116505,0.0,70.65533980582525,387.0728155339806,0.36867496636930785,23
29,23619,120,0.9666666666666667,0.008333333333333333,0.025,75.825,421.59166666666664,0.3779532238994524,215
30,24240,37,1.0,0.0,0.0,75.89189189189189,413.05405405405406,0.4754245184858996,127
31,25142,7,0.8571428571428571,0.0,0.14285714285714285,46.857142857142854,271.7142857142857,0.31314574314574317,37
32,25418,4,1.0,0.0,0.0,25.5,157.0,0.3694791666666667,9
33,27141,4,1.0,0.0,0.0,61.5,354.75,0.24342929292929294,4
34,27611,6,0.8333333333333334,0.0,0.16666666666666666,62.166666666666664,347.0,0.24325586105654384,4
35,28150,20,1.0,0.0,0.0,90.75,488.55,0.3356298160679564,8
36,29155,31,0.967741935483871,0.0,0.03225806451612903,78.45161290322581,428.03225806451616,0.34425314918472194,21
37,29765,88,0.9431818181818182,0.0,0.056818181818181816,77.55681818181819,436.75,0.3937432017267686,31
38,31796,258,0.9534883720930233,0.031007751937984496,0.015503875968992248,56.46124031007752,306.31007751937983,0.33518754364784925,90
39,36885,124,1.0,0.0,0.0,76.35483870967742,426.1209677419355,0.3513274410324845,291
40,38579,3,1.0,0.0,0.0,37.333333333333336,194.0,0.4461199294532628,125
41,39116,45,0.9777777777777777,0.0,0.022222222222222223,70.86666666666666,387.35555555555555,0.4554761021264046,4
42,40601,52,1.0,0.0,0.0,100.07692307692308,548.3461538461538,0.36917113885976843,46
43,44205,73,0.9726027397260274,0.0,0.0273972602739726,82.0958904109589,464.05479452054794,0.40461983814637925,55
44,45987,98,0.9693877551020408,0.01020408163265306,0.02040816326530612,65.39795918367346,362.6530612244898,0.4100291618014924,76
45,47521,219,0.9680365296803652,0.0136986301369863,0.0182648401826484,55.666666666666664,302.49771689497715,0.3937218044375346,98
46,48612,25,1.0,0.0,0.0,84.04,466.6,0.3922772413880435,241
47,50032,15,0.8666666666666667,0.0,0.13333333333333333,71.33333333333333,402.06666666666666,0.28990008911704046,25
48,52423,4,1.0,0.0,0.0,49.5,288.75,0.30139499389499386,15
