"","id","thumbnail_url","medium_url","picture_url","xl_picture_url","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_thumbnail_url","host_picture_url","host_listings_count","host_total_listings_count","host_verifications","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","zipcode","is_location_exact","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","amenities","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","maximum_nights","availability_30","availability_60","availability_90","availability_365","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","requires_license","instant_bookable","cancellation_policy","require_guest_profile_picture","require_guest_phone_verification","calculated_host_listings_count","reviews_per_month","downtown","kitchen","restaurants","laundry","harvard","bus","subway","airport","nosmoking","amenities_list","amenity_counts","TV","Wireless Internet","Kitchen","Free Parking on Premises","Pets live on this property","Dogs","Heating","FamilyKid Friendly","Washer","Dryer","Smoke Detector","Fire Extinguisher","Essentials","Shampoo","Laptop Friendly Workspace","Internet","Air Conditioning","Pets Allowed","Carbon Monoxide Detector","Lock on Bedroom Door","Hangers","Hair Dryer","Iron","Cable TV","First Aid Kit","Safety Card","Gym","Breakfast","Indoor Fireplace","Cats","24Hour Checkin","Hot Tub","BuzzerWireless Intercom","Other pets","Washer  Dryer","Smoking Allowed","Suitable for Events","Wheelchair Accessible","Elevator in Building","Pool","Doorman","Paid Parking Off Premises","Free Parking on Street"
"817",60029,1,1,1,1,"within a few hours",92,96,0,1,1,5,5,4,1,1,"Roxbury","02119",1,"Apartment","Private room",1,1,1,1,"Real Bed","{Internet,""Wireless Internet"",""Air Conditioning"",""Pets live on this property"",Dog(s),Cat(s),Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,""Laptop Friendly Workspace""}",0,0,1,15,2,1125,0,0,0,250,112,95,9,9,10,10,8,9,0,0,"strict",1,1,5,1.62,0,0,0,0,0,1,1,1,0,"Internet, Wireless Internet, Air Conditioning, Pets live on this property, Dogs, Cats, Heating, Washer, Dryer, Smoke Detector, Carbon Monoxide Detector, First Aid Kit, Safety Card, Fire Extinguisher, Essentials, Laptop Friendly Workspace",16,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"818",1403408,1,1,1,1,"within a few hours",92,96,0,1,1,5,5,4,1,1,"Roxbury","02119",1,"Apartment","Private room",2,0,1,1,"Real Bed","{""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets live on this property"",Cat(s),Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials}",0,0,1,30,2,1125,0,0,0,248,12,100,9,9,10,10,8,9,0,0,"strict",1,1,5,0.32,0,0,0,0,0,0,1,1,0,"Wireless Internet, Air Conditioning, Kitchen, Pets live on this property, Cats, Heating, Washer, Dryer, Smoke Detector, Carbon Monoxide Detector, First Aid Kit, Fire Extinguisher, Essentials",13,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"819",9614024,1,1,1,1,"within a few hours",100,77,0,1,1,1,1,4,1,1,"Roxbury","02118",0,"Apartment","Entire home/apt",2,1,0,1,"Real Bed","{TV,""Wireless Internet"",""Wheelchair Accessible"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,Hangers,""Hair Dryer""}",0,20,1,0,2,61,0,0,0,0,8,70,9,8,10,9,9,8,0,0,"strict",0,0,1,4,0,0,1,0,0,1,0,0,1,"TV, Wireless Internet, Wheelchair Accessible, Kitchen, BuzzerWireless Intercom, Heating, FamilyKid Friendly, Washer, Dryer, Hangers, Hair Dryer",11,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"820",14414473,1,1,1,1,"within an hour",100,100,0,1,1,1,1,5,1,1,"Roxbury","02119",1,"Apartment","Entire home/apt",2,1,1,1,"Real Bed","{""Wireless Internet"",Kitchen,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Hangers,""Laptop Friendly Workspace""}",300,50,1,0,2,1125,4,12,28,294,4,100,10,10,10,10,9,10,0,0,"moderate",0,0,1,4,0,1,0,0,0,0,0,0,0,"Wireless Internet, Kitchen, Heating, Smoke Detector, Carbon Monoxide Detector, Fire Extinguisher, Essentials, Hangers, Laptop Friendly Workspace",9,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"821",12627225,1,1,1,1,"within an hour",96,100,0,1,1,3,3,4,1,0,"Roxbury","02125",0,"Bed & Breakfast","Private room",2,NA,1,NA,"Real Bed","{""Air Conditioning"",""Free Parking on Premises"",""Smoking Allowed"",Breakfast,Heating,""Family/Kid Friendly"",Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,Iron}",0,15,1,20,1,1125,29,59,89,364,10,58,6,5,8,8,5,6,0,1,"strict",0,0,3,5.45,0,0,0,0,0,1,0,0,0,"Air Conditioning, Free Parking on Premises, Smoking Allowed, Breakfast, Heating, FamilyKid Friendly, Dryer, Smoke Detector, Carbon Monoxide Detector, First Aid Kit, Essentials, Shampoo, 24Hour Checkin, Hangers, Iron",15,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"822",8153848,1,1,1,1,"within an hour",100,100,0,1,1,18,18,4,1,1,"Roxbury","02119",1,"House","Private room",2,2,1,2,"Real Bed","{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",0,10,1,0,1,180,23,53,83,353,81,86,9,9,9,9,9,9,0,1,"strict",0,0,11,6.62,0,1,0,0,0,0,1,0,0,"TV, Internet, Wireless Internet, Air Conditioning, Kitchen, Free Parking on Premises, Heating, Washer, Dryer, Smoke Detector, Carbon Monoxide Detector, First Aid Kit, Fire Extinguisher, Essentials, Shampoo, 24Hour Checkin, Hangers, Hair Dryer, Iron, Laptop Friendly Workspace",20,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"823",4205641,1,1,1,1,"within an hour",100,100,0,1,1,1,1,4,1,1,"Roxbury","02118",1,"Apartment","Entire home/apt",4,1,0,2,"Futon","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Smoking Allowed"",""Pets Allowed"",""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",0,15,1,22,1,13,3,20,50,322,46,85,9,9,9,10,8,9,0,1,"moderate",0,0,1,2.13,0,0,1,0,0,1,0,1,0,"TV, Cable TV, Internet, Wireless Internet, Air Conditioning, Kitchen, Smoking Allowed, Pets Allowed, Elevator in Building, BuzzerWireless Intercom, Heating, Suitable for Events, Washer, Dryer, Smoke Detector, Carbon Monoxide Detector, First Aid Kit, Essentials, Shampoo, 24Hour Checkin, Hangers, Hair Dryer, Iron, Laptop Friendly Workspace",24,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0
"824",9415712,1,1,1,1,"within a few hours",100,100,0,1,1,2,2,5,1,1,"Roxbury","02119",0,"Apartment","Private room",2,1,1,1,"Real Bed","{""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",Breakfast,""Pets live on this property"",Cat(s),""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",Essentials,Shampoo,""Lock on Bedroom Door"",""Hair Dryer"",""Laptop Friendly Workspace""}",0,0,1,0,1,1125,1,8,28,280,1,80,10,8,10,10,4,10,0,0,"moderate",0,0,2,1,0,0,0,0,0,1,0,0,0,"Wireless Internet, Kitchen, Free Parking on Premises, Pets Allowed, Breakfast, Pets live on this property, Cats, BuzzerWireless Intercom, Heating, FamilyKid Friendly, Smoke Detector, Carbon Monoxide Detector, First Aid Kit, Safety Card, Essentials, Shampoo, Lock on Bedroom Door, Hair Dryer, Laptop Friendly Workspace",19,0,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"825",9694218,1,1,1,1,"within an hour",100,100,0,1,1,1,1,4,1,1,"Roxbury","02119",1,"Apartment","Entire home/apt",4,1,1,1,"Real Bed","{Internet,""Wireless Internet"",Kitchen,Breakfast,""Pets live on this property"",Dog(s),Cat(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_50""}",0,30,4,25,2,1125,2,6,11,227,55,97,10,10,10,10,9,10,0,1,"moderate",0,0,1,7.75,1,0,0,0,0,1,0,0,1,"Internet, Wireless Internet, Kitchen, Breakfast, Pets live on this property, Dogs, Cats, Heating, FamilyKid Friendly, Washer, Dryer, Smoke Detector, Essentials, Shampoo, 24Hour Checkin, Hangers, Hair Dryer, Iron, Laptop Friendly Workspace",19,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"826",12857811,1,1,1,1,"within an hour",96,100,0,1,1,3,3,4,1,0,"Roxbury","02125",0,"House","Private room",2,NA,1,NA,"Real Bed","{TV,""Air Conditioning"",""Free Parking on Premises"",""Smoking Allowed"",Breakfast,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Safety Card"",Essentials,Shampoo,""24-Hour Check-in"",Iron}",0,15,1,20,1,1125,27,57,87,362,14,62,7,5,8,8,5,6,0,1,"flexible",0,0,3,4.62,0,0,0,0,0,1,0,0,0,"TV, Air Conditioning, Free Parking on Premises, Smoking Allowed, Breakfast, Heating, FamilyKid Friendly, Washer, Dryer, Smoke Detector, Safety Card, Essentials, Shampoo, 24Hour Checkin, Iron",15,1,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"827",6080461,1,1,1,1,"within a few hours",100,68,0,1,1,3,3,4,1,1,"Roxbury","02119",1,"Apartment","Entire home/apt",4,1,0,2,"Real Bed","{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",0,70,2,5,3,1125,8,24,54,329,13,97,10,10,10,10,8,10,0,0,"strict",0,0,3,0.78,0,0,0,0,0,0,1,0,1,"TV, Internet, Wireless Internet, Air Conditioning, Kitchen, Heating, Washer, Dryer, Smoke Detector, Carbon Monoxide Detector, Essentials, Shampoo, 24Hour Checkin, Hangers, Hair Dryer, Iron, Laptop Friendly Workspace",17,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"828",13298137,0,0,1,0,"within a day",93,57,0,1,1,17,17,4,1,1,"Roxbury","02119",1,"Apartment","Private room",1,1,1,1,"Real Bed","{""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Gym,""Hot Tub"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""Lock on Bedroom Door"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",300,50,1,0,30,1125,5,35,65,340,1,100,10,10,10,10,10,10,0,0,"strict",0,0,6,1,1,0,0,0,0,1,0,0,1,"Wireless Internet, Air Conditioning, Kitchen, Free Parking on Premises, Gym, Hot Tub, Heating, Smoke Detector, Carbon Monoxide Detector, Lock on Bedroom Door",10,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"829",14428517,1,1,1,1,"within a day",95,56,0,1,1,5,5,5,1,1,"Roxbury","02119",1,"Apartment","Private room",2,1,1,1,"Real Bed","{""Wireless Internet"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",Essentials,""Lock on Bedroom Door"",Hangers,""Hair Dryer"",Iron}",0,50,1,0,2,1125,2,2,2,57,0,NA,NA,NA,NA,NA,NA,NA,0,0,"moderate",0,0,5,NA,0,1,0,1,0,0,0,0,0,"Wireless Internet, Heating, FamilyKid Friendly, Washer, Dryer, Smoke Detector, Essentials, Lock on Bedroom Door, Hangers, Hair Dryer, Iron",11,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"830",13379155,1,1,1,1,"within a few hours",100,89,0,1,1,1,1,3,1,0,"Roxbury","02120",1,"Apartment","Private room",1,1,1,1,"Real Bed","{Kitchen,""Elevator in Building"",""Hot Tub"",Heating,""Smoke Detector"",""Fire Extinguisher"",Essentials,Hangers,""Laptop Friendly Workspace""}",100,10,1,0,1,1125,0,0,0,0,3,80,9,7,10,10,9,8,0,0,"flexible",0,0,1,1.11,0,0,0,0,0,0,0,0,0,"Kitchen, Elevator in Building, Hot Tub, Heating, Smoke Detector, Fire Extinguisher, Essentials, Hangers, Laptop Friendly Workspace",9,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"831",10249798,1,1,1,1,"within a few hours",100,50,1,1,1,2,2,4,1,1,"Roxbury","02125",1,"House","Private room",1,1,1,1,"Real Bed","{""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Breakfast,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",0,30,1,25,2,1125,0,22,52,79,1,100,10,10,10,10,10,10,0,0,"strict",0,0,2,1,0,0,0,0,0,0,0,0,0,"Cable TV, Internet, Wireless Internet, Kitchen, Free Parking on Premises, Breakfast, Heating, FamilyKid Friendly, Washer, Dryer, Smoke Detector, Carbon Monoxide Detector, First Aid Kit, Fire Extinguisher, Essentials, Shampoo, 24Hour Checkin, Hangers, Hair Dryer, Iron, Laptop Friendly Workspace",21,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
