"","knn1_200","knn3_200","knn5_200","knn7_200","knn15_200"
"1",37.9842257226818,32.976549349201,31.5981585415361,31.1323473335456,30.8401681424446
"2",39.179650873909,34.4557633144686,32.5956447238492,31.1285805583818,30.2192954448199
"3",37.7498903146281,35.0169436624407,32.4550713618516,31.3302407413661,30.2705277445958
"4",40.6088244559753,35.2661266047931,33.1365538357361,32.4137830289349,31.4219794072669
"5",41.0725426592208,36.0273103609059,33.3962514205037,32.5059687856801,31.9483174725967
"6",40.5760356242418,33.6441789559353,31.8763349593531,31.2934597226886,30.3285888981217
"7",38.9200443603224,33.6665251121007,32.7214068914354,32.0534491487572,31.1782200472929
"8",39.3125919495855,34.9228784477632,32.8660909478708,31.9394516275481,30.3566233090172
"9",38.4008969626195,33.136818955365,31.6009396045551,30.4465997940472,28.8767817837
"10",38.4154477699074,32.5428032846047,30.6195477662719,30.0253495672923,29.23047064629
"11",40.4500961152514,35.1300092087447,33.2173285701363,32.3178049980533,31.1684178468149
"12",40.0793234950037,34.097902499809,31.9999144017228,31.3975803786972,29.7382265922321
"13",41.854533607029,34.2946420483651,32.7998435061036,31.9094136882874,31.1363818458793
"14",39.5023611061607,33.5704100849381,31.6986735566502,30.1721906031858,28.7074676805902
"15",39.3893756069942,33.6373571443369,32.6421776570363,32.1987468792945,31.3187308921134
"16",40.6222326564344,33.8027296871281,32.4849883574363,31.6288016647783,30.1991461139826
"17",40.5532121838179,34.4941438565789,32.708823143134,31.7736258288189,30.0341759526064
"18",39.3130048088661,34.2129054026391,32.2717925028451,32.3070774775575,30.7857312251858
"19",38.4903159425675,32.2265993030834,30.6621362465155,29.8993083009527,28.5271866728618
"20",40.9072416963495,34.4928147031063,33.0380493751869,32.4791595410921,31.2383983141564
"21",39.9615203440651,34.6807148368736,32.9272121237095,32.1558356189821,30.8685272198717
"22",38.5632429638962,33.2387154988064,30.8467043860506,30.5325481910141,29.7760958551115
"23",41.1494426609625,34.4714404369218,32.8463089611745,32.3566712364283,30.9808280995512
"24",40.130372408815,33.7450824211864,32.4175444675722,31.4607539087643,29.7771398678285
"25",38.8483328096215,33.9032460365113,31.7771267588459,30.9789562710528,30.3677710641044
