"","lm_200","step_200","lasso_200","knn1_200","knn3_200","knn5_200","knn7_200","knn15_200","rt_200"
"1",24.514540013746,24.7402436849231,24.4255272835256,38.5631106125474,33.3325920444866,31.7442760640982,30.8693582973476,30.2288223538844,26.4878077355666
"2",23.860566752598,24.2330694318454,22.2085956755325,38.8431786502439,33.0359870697555,30.7030723291528,29.9880358647305,28.2579383394351,28.0516864767087
"3",25.6246855127191,25.5946963419651,24.3198445410147,41.2046538140487,35.2465494589797,33.4130216892377,32.5712634733946,30.9911054314544,30.5521224662754
"4",26.0219446330057,25.9416143077778,23.7504980260362,40.0191951610719,34.0823519843951,31.8940988243635,31.2439362425069,30.1627721452307,31.5926272473139
"5",24.7974305530343,24.4846384469489,27.1073365905794,38.855048825164,32.4862259923972,30.3152795067016,30.3902314676064,29.5349194603523,31.1055345660475
"6",27.1449682414593,25.9912881748917,24.797804175478,39.174392787008,32.3625474169761,31.6734409489536,31.0691571659582,29.3380875192679,29.928459922529
"7",26.7045139591098,26.6747361884497,26.763489668954,40.0363134419219,33.714657056484,33.1359782175093,32.3213943857008,31.3186173963878,31.3166369355117
"8",24.8438195899781,25.6582507551277,24.3919091620482,40.5121255853323,34.6575005543131,32.4347755729011,31.771440997487,30.5445010887993,27.3935398651112
"9",26.7007928721006,26.8149421390607,28.5348219801815,40.7063736265948,34.0045834643657,32.7363803945588,32.4420718233366,30.6757194436394,28.7718583002766
"10",24.6143536054552,24.8268029389699,25.8557176463339,38.1850568243197,31.7208142967775,29.595059729252,28.8114961509241,27.2658260706523,28.5086480006973
"11",23.0038066061267,23.0821971457594,28.8896263034317,38.3451345194282,32.3274544963941,29.7163866509954,29.4757791816188,28.9570258560404,26.6523013680918
"12",28.1242218524522,28.1447777903594,27.9074847442252,39.6246107665327,33.7627975270416,32.3017370777395,31.3963993764977,30.6396966403493,31.0947425302926
"13",26.2539853840031,26.2664712577922,25.8945303783758,41.1090241575814,34.0972622455951,31.8590221627825,31.5471706499365,30.5142823760678,29.974913040496
"14",24.2604947974074,25.4871374814694,27.2119029262472,39.5502047070393,33.9711331167932,31.7759392197732,31.6554165715669,30.4024148006175,29.3587090129407
"15",26.4852730406029,26.3864102633594,26.3275634485941,39.703766739035,32.6414373030275,30.8195954705311,30.5386670549672,29.268019280007,29.9575967174496
"16",23.5546731618834,23.9884764350356,23.5494161479092,39.2656771203559,34.0338203246361,31.8075613403034,31.5559293997976,29.9729436605968,27.0490167593989
"17",23.490315095545,24.286705903917,22.7666248593509,38.2721789498943,32.1239748523023,30.1510945563642,29.6133676888059,28.364683480434,26.1352847796482
"18",27.152311446457,28.012871218689,25.2729539043459,39.083525833347,34.6117159082015,33.8054628728222,33.4401265904134,31.7235450013026,30.632314131534
"19",24.4635167904435,24.9722231509529,26.3974025542653,37.7872052583422,31.0634432390176,29.2884909796591,28.7082303505847,27.0381346526022,26.2984266190665
"20",24.4805289276572,24.5703950169652,23.0397594205958,39.5269214436958,33.969754872236,32.3344544458765,31.6459175994128,29.9920161925273,27.7663124287206
"21",22.408489649579,22.547546841559,27.7207277993781,37.3397444571333,32.950716762186,31.3749348371845,30.5055434864803,29.1198647097461,30.7401639262757
"22",24.5207322647744,24.9064616711331,26.5821193032108,39.4982741984137,32.5775219340901,30.7643963448607,30.5379908161296,29.189704460345,29.5598421176962
"23",25.630955369625,25.9222782988362,27.5966136567519,41.3486445068718,35.3648473591297,33.6901920244949,33.2703500330111,32.131182635754,29.3920405468723
"24",23.3694137492831,23.5628689340874,25.8722421217548,37.7394826975218,32.5434645805337,30.371234776093,30.0239984279249,28.8787144523737,27.6143927404278
"25",21.7085185236941,22.426205611113,27.1132023161917,37.805951860618,31.9198343565412,29.8770155711206,28.8774012268321,27.3024620088968,28.0134965052829
"26",25.9258328700606,26.2364429041985,24.031485766307,37.128562918822,33.292584169186,31.4678878010894,31.5613413729338,30.5232059230674,28.8532631676791
"27",26.0866134990334,26.5965973776515,27.2274427091896,35.8690594120686,31.9306354799494,30.2542677095904,29.4937673583413,28.7081191847904,31.0649204554691
"28",24.9302466401636,25.0880168065792,26.7066262181679,36.7620811028322,32.7976034552866,31.1222423979211,30.2399867132285,29.8087108055323,29.1341740384329
"29",24.1706469841776,24.2031902674504,26.7763721075929,38.7353004991324,33.0763771913717,31.6241001646416,31.266805080505,30.2242887267073,31.3876174301927
"30",24.6070548633351,25.09077035318,23.5281220058127,38.1965862614958,32.0219710031523,29.8175506938202,29.17958364353,27.9732851855011,29.9233538014298
"31",26.9804817847946,26.7205513465293,25.7982852337841,39.8368953319187,33.6109738924348,31.2358548736379,31.0585514753053,29.2470913203325,28.9981121327266
"32",26.6413363977793,26.7773788856723,24.3609378250051,40.7683873573917,35.9156973499197,34.1555763603603,33.3589812130188,31.7340362914605,32.0344175628988
"33",26.2889416114016,23.703930635,23.7262645788418,38.5838691044478,30.7687598589113,27.8936230994694,27.5994178940984,26.1220430866777,28.1595144060791
"34",25.8227399166262,25.9264596225375,26.4595083396058,37.9959520757529,32.8679326541509,30.8196080059815,30.5840334647045,29.2590526979644,28.2389501580174
"35",24.9170488656943,25.129330106027,26.459921887213,38.4782685591335,32.5707046533571,30.7295255365169,29.615420968889,29.0003543565326,30.1606592399686
"36",27.2436397491281,27.3531163886362,24.5635869332309,40.1260505512955,33.8830982785867,33.358895079075,32.2971225611159,31.0453141118062,28.8437713337286
"37",25.3204116117829,25.7258556025719,23.5413413103125,37.3439090729014,32.5561410757245,30.1449477372193,29.3656100644912,28.2634271268389,29.2812678528061
"38",25.886790827029,25.0949835171887,24.168280769387,37.637824840686,32.8255094888485,31.5859228766896,31.2792774816248,29.9600491932965,30.9830586327359
"39",23.8860630776306,23.8855979697789,22.0050527196888,38.3110275903307,32.1579044019964,30.0828625604827,28.6854434165185,27.5837918615462,29.4520261097269
