"","id","thumbnail_url","medium_url","picture_url","xl_picture_url","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_thumbnail_url","host_picture_url","host_listings_count","host_total_listings_count","host_verifications","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","zipcode","is_location_exact","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","amenities","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","maximum_nights","availability_30","availability_60","availability_90","availability_365","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","requires_license","instant_bookable","cancellation_policy","require_guest_profile_picture","require_guest_phone_verification","calculated_host_listings_count","reviews_per_month","downtown","kitchen","restaurants","laundry","harvard","bus","subway","airport","nosmoking","amenities_list","amenity_counts","TV","Wireless.Internet","Kitchen","Free.Parking.on.Premises","Pets.live.on.this.property","Dogs","Heating","FamilyKid.Friendly","Washer","Dryer","Smoke.Detector","Fire.Extinguisher","Essentials","Shampoo","Laptop.Friendly.Workspace","Internet","Air.Conditioning","Pets.Allowed","Carbon.Monoxide.Detector","Lock.on.Bedroom.Door","Hangers","Hair.Dryer","Iron","Cable.TV","First.Aid.Kit","Safety.Card","Gym","Breakfast","Indoor.Fireplace","Cats","X24Hour.Checkin","Hot.Tub","BuzzerWireless.Intercom","Other.pets","Washer..Dryer","Smoking.Allowed","Suitable.for.Events","Wheelchair.Accessible","Elevator.in.Building","Pool","Doorman","Paid.Parking.Off.Premises","Free.Parking.on.Street","avgprice","pricevar","counteng","pos","neg","zero","wordcount","charcount","sentiment","count"
"11",9858,0,0,1,0,"within a few hours",89,45,0,1,1,558,558,4,1,1,"Back Bay","02116",1,"Apartment","Entire home/apt",6,1,2,2,"Real Bed","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Kitchen,Gym,""Elevator in Building"",Heating,Washer,Dryer,Essentials}",0,0,1,0,2,730,29,59,89,364,1,NA,NA,NA,NA,NA,NA,NA,0,0,"super_strict_30",0,1,79,0.07,0,0,0,0,0,0,0,0,1,"TV, Cable TV, Internet, Wireless Internet, Air Conditioning, Wheelchair Accessible, Kitchen, Gym, Elevator in Building, Heating, Washer, Dryer, Essentials",13,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,486.774725274725,8038.83616383617,1,0,0,1,14,88,0,1
"12",9860,0,0,1,0,"within a few hours",89,45,0,1,1,558,558,4,1,1,"Back Bay","02116",1,"Apartment","Entire home/apt",2,1,1,1,"Real Bed","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer}",0,0,1,0,2,120,18,48,78,353,22,85,8,9,10,9,10,9,0,0,"super_strict_30",0,1,79,0.28,0,0,0,1,0,0,0,0,1,"TV, Cable TV, Internet, Wireless Internet, Air Conditioning, Kitchen, Pets Allowed, Elevator in Building, Heating, FamilyKid Friendly, Washer, Dryer",12,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,269.759206798867,2726.74014936906,21,0.952380952380952,0.0476190476190476,0,58.4285714285714,316.857142857143,0.420417141528893,22
"13",9870,0,0,1,0,"within a few hours",89,45,0,1,1,558,558,4,1,1,"South End","02116",1,"Apartment","Entire home/apt",2,1,1,1,"Real Bed","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets live on this property"",Heating,""Family/Kid Friendly"",Washer,Dryer}",0,0,1,0,2,365,27,57,87,362,6,80,9,7,10,9,10,8,0,0,"super_strict_30",0,1,79,0.12,0,0,0,1,0,0,0,0,1,"TV, Cable TV, Internet, Wireless Internet, Air Conditioning, Kitchen, Pets live on this property, Heating, FamilyKid Friendly, Washer, Dryer",11,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288.776243093923,2174.73372767482,6,1,0,0,43,249.333333333333,0.366937008978676,6
"14",10730,0,0,1,0,"within a few hours",100,93,0,1,1,12,12,2,1,0,"Downtown","02108",1,"Apartment","Entire home/apt",3,1,1,1,"Real Bed","{TV,""Cable TV"",Internet,""Air Conditioning"",Kitchen,""Elevator in Building"",Heating}",0,250,0,0,6,365,0,0,0,94,21,95,10,9,10,10,10,9,0,0,"strict",0,0,10,0.25,0,1,0,1,0,0,0,0,1,"TV, Cable TV, Internet, Air Conditioning, Kitchen, Elevator in Building, Heating",7,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,150,0,20,1,0,0,68.1,378.95,0.365955952905953,21
"15",10758,1,1,1,1,"within a day",100,42,0,1,1,4,4,3,1,0,"Allston","02134",1,"","Private room",1,1,1,1,"Real Bed","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher""}",0,0,1,0,1,90,3,13,43,43,2,60,6,5,8,8,8,7,0,0,"moderate",0,0,4,0.09,0,0,0,0,0,1,1,0,1,"TV, Cable TV, Internet, Wireless Internet, Air Conditioning, Kitchen, Free Parking on Premises, Heating, Smoke Detector, Carbon Monoxide Detector, Fire Extinguisher",11,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.395348837209,26.578073089701,2,1,0,0,34,188,0.520416666666667,2
"16",10809,1,1,1,1,"within a day",100,42,0,1,1,4,4,3,1,0,"Allston","02134",1,"Apartment","Private room",4,0,1,2,"Real Bed","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Doorman,Heating}",0,0,1,0,1,60,3,13,43,43,14,70,7,7,9,9,8,7,0,0,"flexible",0,0,4,0.48,0,0,0,0,0,1,1,0,1,"TV, Cable TV, Internet, Wireless Internet, Air Conditioning, Kitchen, Doorman, Heating",8,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,110.116279069767,311.295681063123,13,0.923076923076923,0,0.0769230769230769,33.8461538461538,174.615384615385,0.217445649588507,1
"17",10811,0,0,1,0,"within a day",78,73,0,1,1,7,7,2,1,0,"Back Bay","02115",0,"Condominium","Entire home/apt",2,1,0,1,"Real Bed","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Indoor Fireplace"",Heating,Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",0,100,1,0,1,730,30,60,90,365,3,87,9,10,9,8,10,9,0,0,"strict",0,0,1,0.37,0,0,0,0,0,0,1,0,1,"TV, Cable TV, Internet, Wireless Internet, Air Conditioning, Kitchen, Indoor Fireplace, Heating, Essentials, Shampoo, Hangers, Hair Dryer, Iron, Laptop Friendly Workspace",14,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.520547945205,33.794219479151,3,1,0,0,57.3333333333333,318,0.326613756613757,14
"18",12356,1,1,1,1,"within a few hours",100,93,0,1,1,12,12,2,1,0,"Beacon Hill","02108",1,"Condominium","Entire home/apt",3,1,1,1,"Real Bed","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Doorman,""Elevator in Building"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",0,250,0,0,6,365,0,0,0,273,9,93,10,10,10,10,10,10,0,0,"strict",0,0,10,0.42,0,0,0,1,0,0,0,0,1,"TV, Cable TV, Internet, Wireless Internet, Air Conditioning, Kitchen, Doorman, Elevator in Building, Heating, Washer, Dryer, Smoke Detector, Carbon Monoxide Detector, Essentials",14,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,200,0,9,1,0,0,65.8888888888889,355.111111111111,0.44023625808348,3
"19",12441,0,0,1,0,"within a few hours",89,45,0,1,1,558,558,4,1,1,"Back Bay","02116",1,"Apartment","Entire home/apt",6,3,3,3,"Real Bed","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",""Elevator in Building"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,""24-Hour Check-in"",Hangers,Iron,""Laptop Friendly Workspace""}",0,0,1,0,3,120,7,18,35,305,29,86,8,9,9,9,10,8,0,0,"super_strict_30",0,1,79,0.38,0,0,0,1,0,0,0,0,1,"TV, Cable TV, Internet, Wireless Internet, Air Conditioning, Kitchen, Pets Allowed, Elevator in Building, Indoor Fireplace, Heating, FamilyKid Friendly, Washer, Dryer, Smoke Detector, Carbon Monoxide Detector, Essentials, 24Hour Checkin, Hangers, Iron, Laptop Friendly Workspace",20,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,418.354098360656,5362.3478861087,27,0.888888888888889,0.0740740740740741,0.037037037037037,74.5925925925926,409.037037037037,0.297405431479854,9
"20",13059,0,0,1,0,"within an hour",100,19,0,1,1,16,16,5,1,1,"North End","02110",1,"Boat","Entire home/apt",10,2,3,6,"Real Bed","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",""Pets live on this property"",Dog(s),Cat(s),Heating,""Family/Kid Friendly""}",0,197,2,37,2,365,28,54,58,333,13,94,9,10,10,9,10,10,0,0,"strict",0,0,5,0.2,0,0,0,0,0,0,0,0,1,"TV, Cable TV, Internet, Wireless Internet, Air Conditioning, Kitchen, Pets Allowed, Pets live on this property, Dogs, Cats, Heating, FamilyKid Friendly",12,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,400.837837837838,4463.0700097688,11,1,0,0,168.272727272727,909,0.240120711549995,29
